"name" "code" "value" "target" "source" "Target" "Source" "value.1" "target.1" "source.1" "Target.1" "Source.1"
"1" "Arts" 0 72491 "Arts" "Agri" 0 13 72491 "Arts" "Agri" 0 13
"2" "Commerce" 1 96057 "Commerce" "Agri" 1 13 96057 "Commerce" "Agri" 1 13
"3" "FineArts" 2 82257 "FineArts" "Agri" 2 13 82257 "FineArts" "Agri" 2 13
"4" "HealthScience" 3 70600 "HealthScience" "Agri" 3 13 70600 "HealthScience" "Agri" 3 13
"5" "Technical" 4 64112 "Technical" "Agri" 4 13 64112 "Technical" "Agri" 4 13
"6" "UniformedServices" 5 69639 "UniformedServices" "Agri" 5 13 69639 "UniformedServices" "Agri" 5 13
"7" "Agri" 6 72491 "Arts" "Agri" 0 13 71828 "Agri" "Arts" 6 7
"8" "Arts_v1" 7 96057 "Commerce" "Agri" 1 13 85163 "Commerce" "Arts" 1 7
"9" "Commerce_v1" 8 82257 "FineArts" "Agri" 2 13 77878 "FineArts" "Arts" 2 7
"10" "FineArts_v1" 9 70600 "HealthScience" "Agri" 3 13 75280 "HealthScience" "Arts" 3 7
"11" "HealthScience_v1" 10 64112 "Technical" "Agri" 4 13 65980 "Technical" "Arts" 4 7
"12" "Technical_v1" 11 69639 "UniformedServices" "Agri" 5 13 71026 "UniformedServices" "Arts" 5 7
"13" "UniformedServices_v1" 12 72491 "Arts" "Agri" 0 13 97825 "Agri" "Commerce" 6 8
"14" "Agri_v1" 13 96057 "Commerce" "Agri" 1 13 97735 "Arts" "Commerce" 0 8
"15" "Arts" 0 82257 "FineArts" "Agri" 2 13 113269 "FineArts" "Commerce" 2 8
"16" "Commerce" 1 70600 "HealthScience" "Agri" 3 13 90398 "HealthScience" "Commerce" 3 8
"17" "FineArts" 2 64112 "Technical" "Agri" 4 13 80643 "Technical" "Commerce" 4 8
"18" "HealthScience" 3 69639 "UniformedServices" "Agri" 5 13 95127 "UniformedServices" "Commerce" 5 8
"19" "Technical" 4 72491 "Arts" "Agri" 0 13 103350 "Agri" "FineArts" 6 9
"20" "UniformedServices" 5 96057 "Commerce" "Agri" 1 13 109012 "Arts" "FineArts" 0 9
"21" "Agri" 6 82257 "FineArts" "Agri" 2 13 132228 "Commerce" "FineArts" 1 9
"22" "Arts_v1" 7 70600 "HealthScience" "Agri" 3 13 87425 "HealthScience" "FineArts" 3 9
"23" "Commerce_v1" 8 64112 "Technical" "Agri" 4 13 80076 "Technical" "FineArts" 4 9
"24" "FineArts_v1" 9 69639 "UniformedServices" "Agri" 5 13 94304 "UniformedServices" "FineArts" 5 9
"25" "HealthScience_v1" 10 72491 "Arts" "Agri" 0 13 51227 "Agri" "HealthScience" 6 10
"26" "Technical_v1" 11 96057 "Commerce" "Agri" 1 13 57653 "Arts" "HealthScience" 0 10
"27" "UniformedServices_v1" 12 82257 "FineArts" "Agri" 2 13 61009 "Commerce" "HealthScience" 1 10
"28" "Agri_v1" 13 70600 "HealthScience" "Agri" 3 13 52665 "FineArts" "HealthScience" 2 10
"29" "Arts" 0 64112 "Technical" "Agri" 4 13 75361 "Technical" "HealthScience" 4 10
"30" "Commerce" 1 69639 "UniformedServices" "Agri" 5 13 56732 "UniformedServices" "HealthScience" 5 10
"31" "FineArts" 2 72491 "Arts" "Agri" 0 13 42744 "Agri" "Technical" 6 11
"32" "HealthScience" 3 96057 "Commerce" "Agri" 1 13 43131 "Arts" "Technical" 0 11
"33" "Technical" 4 82257 "FineArts" "Agri" 2 13 55339 "Commerce" "Technical" 1 11
"34" "UniformedServices" 5 70600 "HealthScience" "Agri" 3 13 44782 "FineArts" "Technical" 2 11
"35" "Agri" 6 64112 "Technical" "Agri" 4 13 61919 "HealthScience" "Technical" 3 11
"36" "Arts_v1" 7 69639 "UniformedServices" "Agri" 5 13 51978 "UniformedServices" "Technical" 5 11
"37" "Commerce_v1" 8 72491 "Arts" "Agri" 0 13 80853 "Agri" "UniformedServices" 6 12
"38" "FineArts_v1" 9 96057 "Commerce" "Agri" 1 13 99988 "Arts" "UniformedServices" 0 12
"39" "HealthScience_v1" 10 82257 "FineArts" "Agri" 2 13 117028 "Commerce" "UniformedServices" 1 12
"40" "Technical_v1" 11 70600 "HealthScience" "Agri" 3 13 90743 "FineArts" "UniformedServices" 2 12
"41" "UniformedServices_v1" 12 64112 "Technical" "Agri" 4 13 96336 "HealthScience" "UniformedServices" 3 12
"42" "Agri_v1" 13 69639 "UniformedServices" "Agri" 5 13 88587 "Technical" "UniformedServices" 4 12
